division,estado,municipio,anio,mes,intervalo_horario,cargo,valor,Fecha
BAJA CALIFORNIA,BAJA CALIFORNIA,TIJUANA,2026,1,-,Fijo,414.9,2026-01
BAJA CALIFORNIA,BAJA CALIFORNIA,TIJUANA,2026,1,Base,Variable (Energía),0.6124,2026-01
BAJA CALIFORNIA,BAJA CALIFORNIA,TIJUANA,2026,1,Intermedia,Variable (Energía),0.951,2026-01
BAJA CALIFORNIA,BAJA CALIFORNIA,TIJUANA,2026,1,Punta,Variable (Energía),1.2837,2026-01
BAJA CALIFORNIA,BAJA CALIFORNIA,TIJUANA,2026,1,-,Distribución,90.01,2026-01
BAJA CALIFORNIA,BAJA CALIFORNIA,TIJUANA,2026,1,-,Capacidad,357.99,2026-01
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,2026,1,-,Fijo,414.9,2026-01
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,2026,1,Base,Variable (Energía),2.0969,2026-01
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,2026,1,Intermedia,Variable (Energía),2.6624,2026-01
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,2026,1,Punta,Variable (Energía),3.7478,2026-01
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,2026,1,-,Distribución,90.01,2026-01
BAJA CALIFORNIA SUR,BAJA CALIFORNIA SUR,LA PAZ,2026,1,-,Capacidad,256.62,2026-01
BAJÍO,AGUASCALIENTES,AGUASCALIENTES,2026,1,-,Fijo,427.19,2026-01
BAJÍO,AGUASCALIENTES,AGUASCALIENTES,2026,1,Base,Variable (Energía),1.0558,2026-01
BAJÍO,AGUASCALIENTES,AGUASCALIENTES,2026,1,Intermedia,Variable (Energía),1.8752,2026-01
BAJÍO,AGUASCALIENTES,AGUASCALIENTES,2026,1,Punta,Variable (Energía),2.1364,2026-01
BAJÍO,AGUASCALIENTES,AGUASCALIENTES,2026,1,-,Distribución,97.88,2026-01
BAJÍO,AGUASCALIENTES,AGUASCALIENTES,2026,1,-,Capacidad,392.2,2026-01
CENTRO OCCIDENTE,MICHOACÁN,MORELIA,2026,1,-,Fijo,252.5,2026-01
CENTRO OCCIDENTE,MICHOACÁN,MORELIA,2026,1,Base,Variable (Energía),1.0535,2026-01
CENTRO OCCIDENTE,MICHOACÁN,MORELIA,2026,1,Intermedia,Variable (Energía),1.8778,2026-01
